model,model_slug,depth,seed,batch_index,lag_0,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15
PlainNet,plain,20,0,0,1.0,7.938241318594213e-07,6.880905803961471e-07,5.860115637735701e-07,5.059113878968564e-07,4.268613082987944e-07,3.6433421232324806e-07,2.954149988389935e-07,2.4228670266749874e-07,2.000242409084352e-07,1.5929503629138814e-07,1.1820298396513521e-07,8.60504097671825e-08,5.924043060134014e-08,3.467178838675427e-08,1.574880975111297e-08
PlainNet,plain,20,0,1,1.0,7.956774977127046e-07,6.84164245896185e-07,5.784724314558475e-07,4.946775044973991e-07,4.1975405692179163e-07,3.560449920904812e-07,3.0385636352293814e-07,2.4492103925928177e-07,2.0267283075477846e-07,1.5906195376540384e-07,1.2439015643147374e-07,9.496875132412529e-08,6.665729349593286e-08,4.6325141058503886e-08,1.9065452645674334e-08
PlainNet,plain,20,0,2,1.0,8.535157065384062e-07,7.502987764576221e-07,6.332977059498803e-07,5.444243404710768e-07,4.5704293619501703e-07,3.9394860671363625e-07,3.2120142964578653e-07,2.777281933939168e-07,2.2024464632567904e-07,1.7928273980835598e-07,1.4059083669435518e-07,1.0403851393405336e-07,7.330047369427005e-08,5.168133351036667e-08,3.2436179471404845e-08
PlainNet,plain,20,0,3,1.0,7.368682787606448e-07,6.384827123622697e-07,5.387029313984844e-07,4.6052726178225793e-07,3.926230804225763e-07,3.394344697479519e-07,2.742718982503641e-07,2.284087414754282e-07,1.8789912615204965e-07,1.483872593664278e-07,1.1616912332005824e-07,8.59203737327671e-08,6.120742319433679e-08,3.6094195754001265e-08,2.3851339563074345e-08
PlainNet,plain,20,0,4,1.0,7.789507092293688e-07,6.775900952137226e-07,5.721510051277271e-07,4.90436081177556e-07,4.1173141856237414e-07,3.461567631789773e-07,2.8933414353037905e-07,2.405518416069994e-07,2.0247036191478465e-07,1.581238212726351e-07,1.2393399463791765e-07,1.0116605626823207e-07,7.834966048315111e-08,5.598686595171937e-08,3.960408563632082e-08
Standard ResNet,resnet,20,0,0,1.0,0.26446781691578497,0.21927825234594678,0.13869413246459542,0.3776139244837816,0.12466242104041396,0.12678078932709202,0.08688941063060249,0.2728990198131005,0.08825347997899603,0.08381123640000926,0.06015997875838261,0.2098614481006434,0.06820950322150346,0.05887650014089853,0.03991736157097243
Standard ResNet,resnet,20,0,1,1.0,0.25678533256802494,0.23457347506691384,0.12777959427260208,0.3549492998428413,0.1152561691267161,0.1281446875223639,0.07284902771362883,0.25745859080495404,0.07607049433750052,0.0904988025955567,0.0480207562267308,0.1961349077468567,0.05943515760141806,0.06788717767073657,0.036187436500207136
Standard ResNet,resnet,20,0,2,1.0,0.26509153148612963,0.21948234437257957,0.13476439819966682,0.3566557305932399,0.12293549582648484,0.12380658174214136,0.08750676177515142,0.2672524374644087,0.09169531124102749,0.08923640485288087,0.06257661949467448,0.20486131633178245,0.06578657408406302,0.058946242738148594,0.03941109967933831
Standard ResNet,resnet,20,0,3,1.0,0.259376316007799,0.23407193668579612,0.13568470391405268,0.3831250668245972,0.12375796043911141,0.13530061840248747,0.08162760997553958,0.2813123560772497,0.08638281539714218,0.09687049509501273,0.053722390859815464,0.2138232482108437,0.06284048462441706,0.06661829696617273,0.036535217998098904
Standard ResNet,resnet,20,0,4,1.0,0.2596944661999343,0.2357554712805204,0.13518585184040222,0.38684569873118435,0.11983193984362954,0.1360046999532721,0.07881550094338093,0.2771392165128455,0.07825975110606423,0.09378792772835876,0.05171418482232912,0.20918447608092294,0.059412825019515586,0.06500940033008222,0.034053937944182294
