model,checkpoint,drop_strategy,drop_ratio,seed,test_loss,test_accuracy,baseline_accuracy,accuracy_drop,num_total_blocks,num_dropped_blocks,active_blocks,effective_path_length_approx,mask_path,runtime_sec,dataset
PreActResNet-56,results\full_training\checkpoints\PreActResNet-56.pt,random_drop,0.0,0,0.708533166718483,0.7988,0.7988,0.0,27,0,27,27,results\full_training\masks\random_drop_ratio0p0_seed0.csv,8.071374200000719,CIFAR10
PreActResNet-56,results\full_training\checkpoints\PreActResNet-56.pt,random_drop,0.0,1,0.708533166718483,0.7988,0.7988,0.0,27,0,27,27,results\full_training\masks\random_drop_ratio0p0_seed1.csv,8.048929599994153,CIFAR10
PreActResNet-56,results\full_training\checkpoints\PreActResNet-56.pt,random_drop,0.0,2,0.708533166718483,0.7988,0.7988,0.0,27,0,27,27,results\full_training\masks\random_drop_ratio0p0_seed2.csv,7.895114400002058,CIFAR10
PreActResNet-56,results\full_training\checkpoints\PreActResNet-56.pt,random_drop,0.1,0,0.8357666713833809,0.7706,0.7988,0.028200000000000003,27,3,24,24,results\full_training\masks\random_drop_ratio0p1_seed0.csv,7.775354099998367,CIFAR10
PreActResNet-56,results\full_training\checkpoints\PreActResNet-56.pt,random_drop,0.1,1,3.820608903884888,0.1632,0.7988,0.6355999999999999,27,3,24,24,results\full_training\masks\random_drop_ratio0p1_seed1.csv,9.211817000003066,CIFAR10
PreActResNet-56,results\full_training\checkpoints\PreActResNet-56.pt,random_drop,0.1,2,1.2257360282421113,0.656,0.7988,0.14279999999999993,27,3,24,24,results\full_training\masks\random_drop_ratio0p1_seed2.csv,8.257591000001412,CIFAR10
PreActResNet-56,results\full_training\checkpoints\PreActResNet-56.pt,random_drop,0.3,0,2.006887354850769,0.1641,0.7988,0.6346999999999999,27,8,19,19,results\full_training\masks\random_drop_ratio0p3_seed0.csv,8.029640100001416,CIFAR10
PreActResNet-56,results\full_training\checkpoints\PreActResNet-56.pt,random_drop,0.3,1,3.686546379852295,0.1148,0.7988,0.6839999999999999,27,8,19,19,results\full_training\masks\random_drop_ratio0p3_seed1.csv,8.025889299999108,CIFAR10
PreActResNet-56,results\full_training\checkpoints\PreActResNet-56.pt,random_drop,0.3,2,4.9505433723449705,0.1044,0.7988,0.6943999999999999,27,8,19,19,results\full_training\masks\random_drop_ratio0p3_seed2.csv,8.95611579999968,CIFAR10
PreActResNet-56,results\full_training\checkpoints\PreActResNet-56.pt,random_drop,0.5,0,2.5894826919555665,0.113,0.7988,0.6858,27,14,13,13,results\full_training\masks\random_drop_ratio0p5_seed0.csv,8.825148900003114,CIFAR10
PreActResNet-56,results\full_training\checkpoints\PreActResNet-56.pt,random_drop,0.5,1,5.084077236938477,0.101,0.7988,0.6978,27,14,13,13,results\full_training\masks\random_drop_ratio0p5_seed1.csv,8.747645499999635,CIFAR10
PreActResNet-56,results\full_training\checkpoints\PreActResNet-56.pt,random_drop,0.5,2,2.7316726135253906,0.1,0.7988,0.6988,27,14,13,13,results\full_training\masks\random_drop_ratio0p5_seed2.csv,8.823086299998977,CIFAR10
PreActResNet-56,results\full_training\checkpoints\PreActResNet-56.pt,random_drop,0.7,0,2.7761805629730225,0.1,0.7988,0.6988,27,19,8,8,results\full_training\masks\random_drop_ratio0p7_seed0.csv,8.583100700001523,CIFAR10
PreActResNet-56,results\full_training\checkpoints\PreActResNet-56.pt,random_drop,0.7,1,5.926476483154297,0.1053,0.7988,0.6935,27,19,8,8,results\full_training\masks\random_drop_ratio0p7_seed1.csv,8.11780710000312,CIFAR10
PreActResNet-56,results\full_training\checkpoints\PreActResNet-56.pt,random_drop,0.7,2,2.6582693412780762,0.1445,0.7988,0.6543,27,19,8,8,results\full_training\masks\random_drop_ratio0p7_seed2.csv,9.10292710000067,CIFAR10
PreActResNet-56,results\full_training\checkpoints\PreActResNet-56.pt,early_drop,0.0,0,0.708533166718483,0.7988,0.7988,0.0,27,0,27,27,results\full_training\masks\early_drop_ratio0p0_seed0.csv,9.891860899995663,CIFAR10
PreActResNet-56,results\full_training\checkpoints\PreActResNet-56.pt,early_drop,0.1,0,3.442223139190674,0.1953,0.7988,0.6034999999999999,27,3,24,24,results\full_training\masks\early_drop_ratio0p1_seed0.csv,9.453430600005959,CIFAR10
PreActResNet-56,results\full_training\checkpoints\PreActResNet-56.pt,early_drop,0.3,0,3.935594140625,0.1253,0.7988,0.6735,27,8,19,19,results\full_training\masks\early_drop_ratio0p3_seed0.csv,9.297890399997414,CIFAR10
PreActResNet-56,results\full_training\checkpoints\PreActResNet-56.pt,early_drop,0.5,0,3.9423520942687986,0.1405,0.7988,0.6582999999999999,27,14,13,13,results\full_training\masks\early_drop_ratio0p5_seed0.csv,8.437448500000755,CIFAR10
PreActResNet-56,results\full_training\checkpoints\PreActResNet-56.pt,early_drop,0.7,0,3.51420641708374,0.1094,0.7988,0.6894,27,19,8,8,results\full_training\masks\early_drop_ratio0p7_seed0.csv,8.160901800001739,CIFAR10
PreActResNet-56,results\full_training\checkpoints\PreActResNet-56.pt,late_drop,0.0,0,0.708533166718483,0.7988,0.7988,0.0,27,0,27,27,results\full_training\masks\late_drop_ratio0p0_seed0.csv,8.083550499999546,CIFAR10
PreActResNet-56,results\full_training\checkpoints\PreActResNet-56.pt,late_drop,0.1,0,2.1006875076293947,0.1358,0.7988,0.6629999999999999,27,3,24,24,results\full_training\masks\late_drop_ratio0p1_seed0.csv,9.127335500001209,CIFAR10
PreActResNet-56,results\full_training\checkpoints\PreActResNet-56.pt,late_drop,0.3,0,2.2859070320129393,0.1796,0.7988,0.6192,27,8,19,19,results\full_training\masks\late_drop_ratio0p3_seed0.csv,9.142128400002548,CIFAR10
PreActResNet-56,results\full_training\checkpoints\PreActResNet-56.pt,late_drop,0.5,0,3.121916119003296,0.1,0.7988,0.6988,27,14,13,13,results\full_training\masks\late_drop_ratio0p5_seed0.csv,9.353068100004748,CIFAR10
PreActResNet-56,results\full_training\checkpoints\PreActResNet-56.pt,late_drop,0.7,0,3.353849610900879,0.1,0.7988,0.6988,27,19,8,8,results\full_training\masks\late_drop_ratio0p7_seed0.csv,8.830818599999475,CIFAR10
