drop_strategy,drop_ratio,mean_test_accuracy,std_test_accuracy,mean_accuracy_drop,mean_test_loss,mean_active_blocks,runs
early_drop,0.0,0.7988,0.0,0.0,0.708533166718483,27.0,1
early_drop,0.1,0.1953,0.0,0.6034999999999999,3.442223139190674,24.0,1
early_drop,0.3,0.1253,0.0,0.6735,3.935594140625,19.0,1
early_drop,0.5,0.1405,0.0,0.6582999999999999,3.9423520942687986,13.0,1
early_drop,0.7,0.1094,0.0,0.6894,3.51420641708374,8.0,1
late_drop,0.0,0.7988,0.0,0.0,0.708533166718483,27.0,1
late_drop,0.1,0.1358,0.0,0.6629999999999999,2.1006875076293947,24.0,1
late_drop,0.3,0.1796,0.0,0.6192,2.2859070320129393,19.0,1
late_drop,0.5,0.1,0.0,0.6988,3.121916119003296,13.0,1
late_drop,0.7,0.1,0.0,0.6988,3.353849610900879,8.0,1
random_drop,0.0,0.7988,0.0,0.0,0.708533166718483,27.0,3
random_drop,0.1,0.5299333333333333,0.26350622172709487,0.26886666666666664,1.9607038678367934,24.0,3
random_drop,0.3,0.12776666666666667,0.026040011947428558,0.6710333333333333,3.5479923690160113,19.0,3
random_drop,0.5,0.10466666666666669,0.005906681715556449,0.6941333333333333,3.4684108474731445,13.0,3
random_drop,0.7,0.1166,0.019846578210529552,0.6822,3.7869754624684653,8.0,3
