epoch,run_id,model,seed,layer_index,layer_name,grad_norm_l2,grad_norm_l1,grad_abs_mean,grad_abs_max,log10_grad_norm
1,identity_mapping_cifar10,PlainNet-56,0,0,stage1.0.conv2.weight,0.02397206798195839,0.43996065855026245,0.00019095515017397702,0.004743888508528471,-1.6202944993477442
1,identity_mapping_cifar10,PlainNet-56,0,1,stage1.1.conv2.weight,0.04801742732524872,0.6974692344665527,0.0003027210186701268,0.009452249854803085,-1.318601112249517
1,identity_mapping_cifar10,PlainNet-56,0,2,stage1.2.conv2.weight,0.018091421574354172,0.36752089858055115,0.0001595142821315676,0.0036528538912534714,-1.742527306104522
1,identity_mapping_cifar10,PlainNet-56,0,3,stage1.3.conv2.weight,0.017288828268647194,0.3318330645561218,0.00014402477245312184,0.0033354845363646746,-1.7622344395352363
1,identity_mapping_cifar10,PlainNet-56,0,4,stage1.4.conv2.weight,0.009688086807727814,0.2118375599384308,9.194338781526312e-05,0.001698736217804253,-2.0137619784134593
1,identity_mapping_cifar10,PlainNet-56,0,5,stage1.5.conv2.weight,0.009707772172987461,0.26245322823524475,0.00011391199222998694,0.0012588194804266095,-2.012880424423034
1,identity_mapping_cifar10,PlainNet-56,0,6,stage1.6.conv2.weight,0.016754817217588425,0.36373454332351685,0.00015787089068908244,0.002669740002602339,-1.7758603056019973
1,identity_mapping_cifar10,PlainNet-56,0,7,stage1.7.conv2.weight,0.02197900228202343,0.3894692063331604,0.0001690404606051743,0.002963072620332241,-1.6579920258712169
1,identity_mapping_cifar10,PlainNet-56,0,8,stage1.8.conv2.weight,0.009491488337516785,0.17871558666229248,7.756752893328667e-05,0.0012135091237723827,-2.0226656815111763
1,identity_mapping_cifar10,PlainNet-56,0,9,stage2.0.conv2.weight,0.01794399693608284,0.5502046942710876,5.970102938590571e-05,0.0017237206920981407,-1.7460808135561707
1,identity_mapping_cifar10,PlainNet-56,0,10,stage2.1.conv2.weight,0.011818129569292068,0.4774491786956787,5.1806553528876975e-05,0.0011783285299316049,-1.9274512528608039
1,identity_mapping_cifar10,PlainNet-56,0,11,stage2.2.conv2.weight,0.015294293873012066,0.6467165946960449,7.017324242042378e-05,0.0015701623633503914,-1.8154705692644129
1,identity_mapping_cifar10,PlainNet-56,0,12,stage2.3.conv2.weight,0.024056879803538322,0.8407248258590698,9.122447954723611e-05,0.0026679052971303463,-1.618760701665557
1,identity_mapping_cifar10,PlainNet-56,0,13,stage2.4.conv2.weight,0.02467063069343567,1.1654597520828247,0.000126460479805246,0.0023562265560030937,-1.6078197478101428
1,identity_mapping_cifar10,PlainNet-56,0,14,stage2.5.conv2.weight,0.06393402069807053,2.4250617027282715,0.0002631360257510096,0.005282996222376823,-1.1942679826846736
1,identity_mapping_cifar10,PlainNet-56,0,15,stage2.6.conv2.weight,0.06462479382753372,1.9837692975997925,0.00021525274496525526,0.007085115183144808,-1.1896008294186657
