model,checkpoint,drop_strategy,drop_ratio,seed,test_loss,test_accuracy,baseline_accuracy,accuracy_drop,num_total_blocks,num_dropped_blocks,active_blocks,effective_path_length_approx,mask_path,runtime_sec,dataset
PreActResNet-56,results\identity_mapping\checkpoints\PreActResNet-56.pt,random_drop,0.0,0,2.302787939707438,0.1111111111111111,0.1111111111111111,0.0,27,0,27,27,results\lesion_study\masks\random_drop_ratio0p0_seed0.csv,0.5385198000003584,FakeData
PreActResNet-56,results\identity_mapping\checkpoints\PreActResNet-56.pt,random_drop,0.0,1,2.302787939707438,0.1111111111111111,0.1111111111111111,0.0,27,0,27,27,results\lesion_study\masks\random_drop_ratio0p0_seed1.csv,0.5049066000010498,FakeData
PreActResNet-56,results\identity_mapping\checkpoints\PreActResNet-56.pt,random_drop,0.0,2,2.302787939707438,0.1111111111111111,0.1111111111111111,0.0,27,0,27,27,results\lesion_study\masks\random_drop_ratio0p0_seed2.csv,0.5073835000002873,FakeData
PreActResNet-56,results\identity_mapping\checkpoints\PreActResNet-56.pt,random_drop,0.1,0,2.3027878602345786,0.1111111111111111,0.1111111111111111,0.0,27,3,24,24,results\lesion_study\masks\random_drop_ratio0p1_seed0.csv,0.509809099999984,FakeData
PreActResNet-56,results\identity_mapping\checkpoints\PreActResNet-56.pt,random_drop,0.1,1,2.3027870655059814,0.1111111111111111,0.1111111111111111,0.0,27,3,24,24,results\lesion_study\masks\random_drop_ratio0p1_seed1.csv,0.4672663000001194,FakeData
PreActResNet-56,results\identity_mapping\checkpoints\PreActResNet-56.pt,random_drop,0.1,2,2.302787939707438,0.1111111111111111,0.1111111111111111,0.0,27,3,24,24,results\lesion_study\masks\random_drop_ratio0p1_seed2.csv,0.4385443999999552,FakeData
PreActResNet-56,results\identity_mapping\checkpoints\PreActResNet-56.pt,random_drop,0.3,0,2.3027404149373374,0.1111111111111111,0.1111111111111111,0.0,27,8,19,19,results\lesion_study\masks\random_drop_ratio0p3_seed0.csv,0.4168045999995229,FakeData
PreActResNet-56,results\identity_mapping\checkpoints\PreActResNet-56.pt,random_drop,0.3,1,2.3027878602345786,0.1111111111111111,0.1111111111111111,0.0,27,8,19,19,results\lesion_study\masks\random_drop_ratio0p3_seed1.csv,0.4430074000010791,FakeData
PreActResNet-56,results\identity_mapping\checkpoints\PreActResNet-56.pt,random_drop,0.3,2,2.3027870655059814,0.1111111111111111,0.1111111111111111,0.0,27,8,19,19,results\lesion_study\masks\random_drop_ratio0p3_seed2.csv,0.4692923000002338,FakeData
PreActResNet-56,results\identity_mapping\checkpoints\PreActResNet-56.pt,random_drop,0.5,0,2.3027404149373374,0.1111111111111111,0.1111111111111111,0.0,27,14,13,13,results\lesion_study\masks\random_drop_ratio0p5_seed0.csv,0.3554951999994955,FakeData
