variant,variant_slug,layer_index,layer_name,activation_mean,activation_mean_std_over_batches,activation_std,activation_std_std_over_batches,zero_activation_ratio,zero_activation_ratio_std_over_batches
PlainNet-DefaultInit,plainnet_default_init,0,stem.relu,0.18695240318775178,0.007961045013680133,0.33741304874420164,0.014987720632674364,0.48761978149414065,0.008307540789345445
PlainNet-DefaultInit,plainnet_default_init,1,stage1.0.relu1,0.08137235343456269,0.0038735526816659465,0.15042802691459656,0.006866667573117818,0.5178670883178711,0.004111046961975536
PlainNet-DefaultInit,plainnet_default_init,2,stage1.0.relu2,0.01698444187641144,0.0006166715630062617,0.03907306790351868,0.0015228560621802813,0.6082199096679688,0.0030229614994769774
PlainNet-DefaultInit,plainnet_default_init,3,stage1.1.relu1,0.007457699999213219,0.0002598638379754037,0.012744436971843243,0.0004087850077321523,0.49105472564697267,0.001507681266132002
PlainNet-DefaultInit,plainnet_default_init,4,stage1.1.relu2,0.004258523602038622,0.00014439433945854217,0.0062975424341857435,0.000224101881524748,0.37740650177001955,0.0011834369885995134
PlainNet-DefaultInit,plainnet_default_init,5,stage1.2.relu1,0.0013855274068191648,5.330636923986693e-05,0.0022978365886956453,7.498785030930202e-05,0.507875633239746,0.0012750943592931237
PlainNet-DefaultInit,plainnet_default_init,6,stage1.2.relu2,0.0004927016329020262,1.601660273165671e-05,0.0007802407606504857,2.21547242656509e-05,0.463929557800293,0.0024546524357256638
PlainNet-DefaultInit,plainnet_default_init,7,stage1.3.relu1,0.00016876247827894985,5.921655220183681e-06,0.0002617682213895023,7.439499253730117e-06,0.4717855453491211,0.001879097666978986
PlainNet-DefaultInit,plainnet_default_init,8,stage1.3.relu2,7.113935571396723e-05,2.5803729202183256e-06,0.00011462187540018931,3.499792656985558e-06,0.4485342025756836,0.0009339015446578751
PlainNet-DefaultInit,plainnet_default_init,9,stage1.4.relu1,4.417367890710011e-05,1.6155500806936844e-06,6.025230322848074e-05,1.8482361303911324e-06,0.3449287414550781,0.0006998155447170638
PlainNet-DefaultInit,plainnet_default_init,10,stage1.4.relu2,1.2694030192506035e-05,4.846708902451236e-07,2.37790824030526e-05,8.126309626611529e-07,0.5717617034912109,0.0004999115284025508
PlainNet-DefaultInit,plainnet_default_init,11,stage1.5.relu1,6.181274329719599e-06,2.640627507473592e-07,1.0260625640512443e-05,3.7721396801705413e-07,0.4987184524536133,0.000662599683156213
PlainNet-DefaultInit,plainnet_default_init,12,stage1.5.relu2,5.68940968150855e-06,2.418941814888308e-07,5.9377842262620105e-06,2.105351915778555e-07,0.24986114501953124,0.00044160068144176825
PlainNet-DefaultInit,plainnet_default_init,13,stage1.6.relu1,1.15111138256907e-06,4.9002111155266536e-08,2.191685689467704e-06,8.202187539020144e-08,0.595827293395996,0.0002833079892069652
PlainNet-DefaultInit,plainnet_default_init,14,stage1.6.relu2,5.773686098109465e-07,2.4847443469112244e-08,8.283393640340364e-07,3.0241458409156333e-08,0.41707305908203124,0.0008608803633389069
PlainNet-DefaultInit,plainnet_default_init,15,stage1.7.relu1,1.5015384633443318e-07,6.3818949456648375e-09,2.536451688683883e-07,9.579826437931131e-09,0.5555110931396484,0.0006692822484048413
PlainNet-DefaultInit,plainnet_default_init,16,stage1.7.relu2,6.216708001716142e-08,2.7257067907425254e-09,1.1096315404302004e-07,4.139363688365705e-09,0.5152559280395508,0.0016542767974722812
PlainNet-DefaultInit,plainnet_default_init,17,stage1.8.relu1,1.6798681201635192e-08,7.129734541378927e-10,2.951646145277209e-08,1.099025277928914e-09,0.5556201934814453,0.0004774071148138581
PlainNet-DefaultInit,plainnet_default_init,18,stage1.8.relu2,5.1034089842971754e-09,2.110346884032853e-10,8.508716931032722e-09,2.9199119269333116e-10,0.5334051132202149,0.0007821086266755026
PlainNet-DefaultInit,plainnet_default_init,19,stage2.0.relu1,1.492941570369055e-09,5.754864789739526e-11,2.9402141166201544e-09,9.81833016555468e-11,0.5940086364746093,0.0007267019316875648
PlainNet-DefaultInit,plainnet_default_init,20,stage2.0.relu2,6.617003167619373e-10,2.6891099981558463e-11,1.0200171374208366e-09,3.314779108470557e-11,0.49101791381835935,0.0006558854741867004
PlainNet-DefaultInit,plainnet_default_init,21,stage2.1.relu1,2.1361145630116595e-10,8.340339547930164e-12,3.8020838144525725e-10,1.2577498338489871e-11,0.5514690399169921,0.0005664338627201214
PlainNet-DefaultInit,plainnet_default_init,22,stage2.1.relu2,9.980586496149968e-11,3.9538936863179726e-12,1.5069268610723441e-10,4.922058340729376e-12,0.4704792022705078,0.0002658124194140035
PlainNet-DefaultInit,plainnet_default_init,23,stage2.2.relu1,3.99695408714873e-11,1.5701774687662718e-12,6.99803978654323e-11,2.3061688176787037e-12,0.5443359375,0.0007111719149138306
PlainNet-DefaultInit,plainnet_default_init,24,stage2.2.relu2,2.0873539702259692e-11,8.388107661229259e-13,3.35727494416016e-11,1.0876261456251664e-12,0.4577606201171875,0.0005736556410184139
PlainNet-DefaultInit,plainnet_default_init,25,stage2.3.relu1,8.377171005491401e-12,3.3160391622520466e-13,1.3736426059118845e-11,4.442661476146799e-13,0.4926490783691406,0.00034219131530198064
