variant,variant_slug,layer_name,layerwise_gradient_norm,layerwise_gradient_norm_std_over_batches,layerwise_gradient_std,layerwise_gradient_std_std_over_batches
PlainNet-DefaultInit,plainnet_default_init,conv1.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,bn1.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage1.0.conv1.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage1.0.bn1.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage1.0.conv2.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage1.0.bn2.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage1.1.conv1.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage1.1.bn1.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage1.1.conv2.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage1.1.bn2.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage1.2.conv1.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage1.2.bn1.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage1.2.conv2.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage1.2.bn2.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage1.3.conv1.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage1.3.bn1.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage1.3.conv2.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage1.3.bn2.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage1.4.conv1.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage1.4.bn1.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage1.4.conv2.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage1.4.bn2.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage1.5.conv1.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage1.5.bn1.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage1.5.conv2.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage1.5.bn2.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage1.6.conv1.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage1.6.bn1.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage1.6.conv2.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage1.6.bn2.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage1.7.conv1.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage1.7.bn1.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage1.7.conv2.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage1.7.bn2.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage1.8.conv1.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage1.8.bn1.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage1.8.conv2.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage1.8.bn2.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage2.0.conv1.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage2.0.bn1.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage2.0.conv2.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage2.0.bn2.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage2.1.conv1.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage2.1.bn1.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage2.1.conv2.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage2.1.bn2.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage2.2.conv1.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage2.2.bn1.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage2.2.conv2.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage2.2.bn2.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage2.3.conv1.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage2.3.bn1.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage2.3.conv2.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage2.3.bn2.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage2.4.conv1.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage2.4.bn1.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage2.4.conv2.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage2.4.bn2.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage2.5.conv1.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage2.5.bn1.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage2.5.conv2.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage2.5.bn2.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage2.6.conv1.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage2.6.bn1.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage2.6.conv2.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage2.6.bn2.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage2.7.conv1.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage2.7.bn1.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage2.7.conv2.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage2.7.bn2.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage2.8.conv1.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage2.8.bn1.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage2.8.conv2.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage2.8.bn2.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage3.0.conv1.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage3.0.bn1.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage3.0.conv2.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage3.0.bn2.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage3.1.conv1.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage3.1.bn1.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage3.1.conv2.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage3.1.bn2.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage3.2.conv1.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage3.2.bn1.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage3.2.conv2.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage3.2.bn2.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage3.3.conv1.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage3.3.bn1.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage3.3.conv2.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage3.3.bn2.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage3.4.conv1.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage3.4.bn1.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage3.4.conv2.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage3.4.bn2.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage3.5.conv1.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage3.5.bn1.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage3.5.conv2.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage3.5.bn2.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage3.6.conv1.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage3.6.bn1.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage3.6.conv2.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage3.6.bn2.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage3.7.conv1.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage3.7.bn1.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage3.7.conv2.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage3.7.bn2.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage3.8.conv1.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage3.8.bn1.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage3.8.conv2.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,stage3.8.bn2.weight,0.0,0.0,0.0,0.0
PlainNet-DefaultInit,plainnet_default_init,fc.weight,0.0,0.0,0.0,0.0
PlainNet-XavierInit,plainnet_xavier_init,conv1.weight,3.4158629397262884e-11,4.04096533502381e-12,1.6083024235308274e-12,2.109176319778896e-13
PlainNet-XavierInit,plainnet_xavier_init,stage1.0.conv1.weight,3.825825004022399e-11,1.326881488666937e-12,7.880311312345733e-13,3.538934348752091e-14
PlainNet-XavierInit,plainnet_xavier_init,stage1.0.conv2.weight,4.0994235089852895e-11,4.466928519286467e-12,8.49717410149331e-13,9.092615573221233e-14
PlainNet-XavierInit,plainnet_xavier_init,stage1.1.conv1.weight,4.6680263127152346e-11,3.260421539705782e-12,9.672832088254702e-13,6.543277181802129e-14
PlainNet-XavierInit,plainnet_xavier_init,stage1.1.conv2.weight,2.9829144362891746e-11,2.1358030785180234e-12,6.193179758091915e-13,4.420454334995308e-14
PlainNet-XavierInit,plainnet_xavier_init,stage1.2.conv1.weight,3.4677324553533675e-11,5.38931309273056e-12,7.125684374151286e-13,1.0911769377913123e-13
PlainNet-XavierInit,plainnet_xavier_init,stage1.2.conv2.weight,3.685218866178452e-11,8.289342976406878e-12,7.650251526020168e-13,1.727616999622655e-13
PlainNet-XavierInit,plainnet_xavier_init,stage1.3.conv1.weight,3.322421331108938e-11,4.832526203668738e-12,6.809531671175817e-13,9.425727471053779e-14
PlainNet-XavierInit,plainnet_xavier_init,stage1.3.conv2.weight,3.3714034688991924e-11,6.876458281129271e-12,6.982281289605319e-13,1.395634291535148e-13
PlainNet-XavierInit,plainnet_xavier_init,stage1.4.conv1.weight,2.9000272322443622e-11,6.792500884520475e-12,6.000413002842792e-13,1.3824309770535892e-13
PlainNet-XavierInit,plainnet_xavier_init,stage1.4.conv2.weight,3.0311687881923175e-11,8.94793921888556e-12,6.291136340173808e-13,1.853353620009455e-13
PlainNet-XavierInit,plainnet_xavier_init,stage1.5.conv1.weight,3.387484633077253e-11,6.212751079210244e-12,7.051695924235879e-13,1.289014014818948e-13
PlainNet-XavierInit,plainnet_xavier_init,stage1.5.conv2.weight,4.278610798991167e-11,9.090731301931997e-12,8.847467897199479e-13,1.8768074833875654e-13
PlainNet-XavierInit,plainnet_xavier_init,stage1.6.conv1.weight,4.036070679058756e-11,1.4796269367454503e-11,8.247860890358422e-13,2.9009880920939986e-13
PlainNet-XavierInit,plainnet_xavier_init,stage1.6.conv2.weight,3.047176504178406e-11,8.486897035769716e-12,6.293374783979122e-13,1.7063609122679821e-13
PlainNet-XavierInit,plainnet_xavier_init,stage1.7.conv1.weight,3.86232937993336e-11,9.823781328232802e-12,8.023521951006085e-13,2.0444048368330499e-13
PlainNet-XavierInit,plainnet_xavier_init,stage1.7.conv2.weight,5.4581668351705306e-11,1.7273436504052395e-11,1.1363535763406208e-12,3.5991505017310957e-13
PlainNet-XavierInit,plainnet_xavier_init,stage1.8.conv1.weight,5.2504317560320144e-11,1.4840097612194602e-11,1.0881738435677967e-12,3.0928888063665375e-13
PlainNet-XavierInit,plainnet_xavier_init,stage1.8.conv2.weight,2.1396055066569275e-11,6.832304719849119e-12,4.440572746750721e-13,1.3953455138426963e-13
PlainNet-XavierInit,plainnet_xavier_init,stage2.0.conv1.weight,2.0872231373814108e-11,2.8120259015903466e-12,3.0575805559304723e-13,4.0021050819886385e-14
PlainNet-XavierInit,plainnet_xavier_init,stage2.0.conv2.weight,2.5826085020552725e-11,3.765542511318916e-12,2.688453192706275e-13,3.932021029412114e-14
PlainNet-XavierInit,plainnet_xavier_init,stage2.1.conv1.weight,2.6566298813590627e-11,4.035771410001219e-12,2.7624710787106655e-13,4.152440241206198e-14
PlainNet-XavierInit,plainnet_xavier_init,stage2.1.conv2.weight,2.0775873729728113e-11,3.954876908028842e-12,2.15332054487663e-13,4.0172107514701265e-14
PlainNet-XavierInit,plainnet_xavier_init,stage2.2.conv1.weight,2.011651296929262e-11,4.326427194297769e-12,2.0786087694818489e-13,4.347349196992175e-14
PlainNet-XavierInit,plainnet_xavier_init,stage2.2.conv2.weight,1.8655981620652183e-11,3.8403441129450564e-12,1.9340777623107902e-13,3.919451356577454e-14
PlainNet-XavierInit,plainnet_xavier_init,stage2.3.conv1.weight,2.0931944719193573e-11,4.442054866685199e-12,2.1413430111114767e-13,4.3660678965313014e-14
PlainNet-XavierInit,plainnet_xavier_init,stage2.3.conv2.weight,2.219092184313487e-11,9.312416669760332e-12,2.2659808328762827e-13,9.147946228250653e-14
PlainNet-XavierInit,plainnet_xavier_init,stage2.4.conv1.weight,1.872811003500452e-11,4.090703366317011e-12,1.9383633424480823e-13,4.113455582766072e-14
PlainNet-XavierInit,plainnet_xavier_init,stage2.4.conv2.weight,2.2032277217920448e-11,6.1870784055219236e-12,2.281985581401025e-13,6.334704653841e-14
PlainNet-XavierInit,plainnet_xavier_init,stage2.5.conv1.weight,2.4255807605511048e-11,7.859075379866476e-12,2.506696591833904e-13,8.03271481322757e-14
PlainNet-XavierInit,plainnet_xavier_init,stage2.5.conv2.weight,2.1422036367013674e-11,5.6215710424385704e-12,2.2188704053380943e-13,5.79920941266775e-14
PlainNet-XavierInit,plainnet_xavier_init,stage2.6.conv1.weight,2.2042811326228317e-11,5.319317030546019e-12,2.28420662376147e-13,5.483370871602491e-14
PlainNet-XavierInit,plainnet_xavier_init,stage2.6.conv2.weight,2.5481227891588355e-11,6.950597935229938e-12,2.6416858880506237e-13,7.193245667549853e-14
PlainNet-XavierInit,plainnet_xavier_init,stage2.7.conv1.weight,2.2223005380350714e-11,5.418257262402895e-12,2.301098900184609e-13,5.522120780771986e-14
PlainNet-XavierInit,plainnet_xavier_init,stage2.7.conv2.weight,2.1923585863392604e-11,5.473395476978624e-12,2.254967425893012e-13,5.5678797111680854e-14
PlainNet-XavierInit,plainnet_xavier_init,stage2.8.conv1.weight,2.063477617941789e-11,4.82666361322636e-12,2.1336924740066043e-13,4.78925637850117e-14
PlainNet-XavierInit,plainnet_xavier_init,stage2.8.conv2.weight,2.1672222350055392e-11,5.7444358521953876e-12,2.2420346015936816e-13,5.78501239258416e-14
PlainNet-XavierInit,plainnet_xavier_init,stage3.0.conv1.weight,1.91255355302955e-11,4.854883577186619e-12,1.3900588443976556e-13,3.4298102140744395e-14
PlainNet-XavierInit,plainnet_xavier_init,stage3.0.conv2.weight,2.5548363424832134e-11,7.15467345798881e-12,1.325946012600658e-13,3.6807845438996897e-14
PlainNet-XavierInit,plainnet_xavier_init,stage3.1.conv1.weight,2.269138731081366e-11,5.685784066914552e-12,1.172035043886868e-13,2.8308028044057335e-14
PlainNet-XavierInit,plainnet_xavier_init,stage3.1.conv2.weight,2.289296842372668e-11,6.508394418374678e-12,1.1834343455283807e-13,3.347359704056048e-14
PlainNet-XavierInit,plainnet_xavier_init,stage3.2.conv1.weight,2.0206857194449145e-11,5.494985499560036e-12,1.0476800498112823e-13,2.8126082694090284e-14
PlainNet-XavierInit,plainnet_xavier_init,stage3.2.conv2.weight,1.8710506755059698e-11,4.442223577676972e-12,9.593061479733211e-14,2.171020482656993e-14
PlainNet-XavierInit,plainnet_xavier_init,stage3.3.conv1.weight,1.8227422349248456e-11,4.663002961146934e-12,9.414347014631563e-14,2.3398584153723257e-14
PlainNet-XavierInit,plainnet_xavier_init,stage3.3.conv2.weight,2.1813218765986964e-11,5.551701670835569e-12,1.1254980373251802e-13,2.79475418520414e-14
PlainNet-XavierInit,plainnet_xavier_init,stage3.4.conv1.weight,2.2007778932575662e-11,5.5055897398154575e-12,1.1410131872538824e-13,2.8257923803971097e-14
PlainNet-XavierInit,plainnet_xavier_init,stage3.4.conv2.weight,2.5523809454863767e-11,5.895907294912668e-12,1.322005520462341e-13,3.0013895331182364e-14
PlainNet-XavierInit,plainnet_xavier_init,stage3.5.conv1.weight,2.1290143953356378e-11,4.905054417317669e-12,1.0992898079450683e-13,2.4565562822777242e-14
PlainNet-XavierInit,plainnet_xavier_init,stage3.5.conv2.weight,2.0673416971372927e-11,4.532530988618779e-12,1.0674099001602503e-13,2.308577457489923e-14
PlainNet-XavierInit,plainnet_xavier_init,stage3.6.conv1.weight,2.056245538423207e-11,4.981257774182562e-12,1.0637364063594348e-13,2.5437770891814704e-14
PlainNet-XavierInit,plainnet_xavier_init,stage3.6.conv2.weight,2.367691494253865e-11,4.788894527657017e-12,1.2194211162748838e-13,2.3905965435248744e-14
PlainNet-XavierInit,plainnet_xavier_init,stage3.7.conv1.weight,3.2708513675316906e-11,7.609694676472096e-12,1.6982709726345857e-13,3.9409864741817506e-14
PlainNet-XavierInit,plainnet_xavier_init,stage3.7.conv2.weight,3.439911237801407e-11,7.248035972617673e-12,1.7765456261035345e-13,3.673208301353497e-14
PlainNet-XavierInit,plainnet_xavier_init,stage3.8.conv1.weight,3.2834350863208963e-11,6.938179205204782e-12,1.6975086971921655e-13,3.60242026446962e-14
PlainNet-XavierInit,plainnet_xavier_init,stage3.8.conv2.weight,4.612985826657479e-11,1.0746865290155906e-11,2.400819533411244e-13,5.588281364230091e-14
PlainNet-XavierInit,plainnet_xavier_init,fc.weight,1.524662722462988e-11,3.022614619077339e-12,6.026758519322994e-13,1.1947933486434168e-13
PlainNet-HeInit,plainnet_he_init,conv1.weight,0.009382799081504346,0.0011254486913733343,0.00044155234936624763,5.9023588771389004e-05
PlainNet-HeInit,plainnet_he_init,stage1.0.conv1.weight,0.008081137202680111,0.00029795994977444874,0.0001664871844695881,7.762659529323258e-06
PlainNet-HeInit,plainnet_he_init,stage1.0.conv2.weight,0.008681823965162039,0.0009646208079519053,0.0001799517951440066,1.9614583753433154e-05
PlainNet-HeInit,plainnet_he_init,stage1.1.conv1.weight,0.009868908300995826,0.0006762349305267164,0.00020446395501494408,1.3505164123341816e-05
PlainNet-HeInit,plainnet_he_init,stage1.1.conv2.weight,0.006294301711022854,0.00046937222011956463,0.00013067318068351596,9.65185648336749e-06
PlainNet-HeInit,plainnet_he_init,stage1.2.conv1.weight,0.007319969870150089,0.0011464852625007705,0.0001503621635492891,2.3165404676370683e-05
PlainNet-HeInit,plainnet_he_init,stage1.2.conv2.weight,0.007758573722094297,0.0017409980024051407,0.00016104642127174885,3.629539890844163e-05
PlainNet-HeInit,plainnet_he_init,stage1.3.conv1.weight,0.007003091648221016,0.0010269728682148406,0.00014348547556437553,1.9804170387311603e-05
PlainNet-HeInit,plainnet_he_init,stage1.3.conv2.weight,0.0070885934866964815,0.0014548471058176628,0.00014681184984510764,2.9487046069868688e-05
PlainNet-HeInit,plainnet_he_init,stage1.4.conv1.weight,0.006100041978061199,0.001507052760755218,0.0001262189674889669,3.066077508776607e-05
PlainNet-HeInit,plainnet_he_init,stage1.4.conv2.weight,0.006376877473667264,0.0019098741540873865,0.0001323419448453933,3.953064043937872e-05
PlainNet-HeInit,plainnet_he_init,stage1.5.conv1.weight,0.007134574931114912,0.00128348579094906,0.00014851693995296956,2.6641686953175836e-05
PlainNet-HeInit,plainnet_he_init,stage1.5.conv2.weight,0.009063204098492861,0.002008261659809782,0.0001874396635685116,4.1422489426190647e-05
PlainNet-HeInit,plainnet_he_init,stage1.6.conv1.weight,0.00857463302090764,0.003180823009935847,0.00017518306121928618,6.231807903698237e-05
PlainNet-HeInit,plainnet_he_init,stage1.6.conv2.weight,0.006467686593532562,0.0018336974277992125,0.00013357823627302423,3.691267768705061e-05
PlainNet-HeInit,plainnet_he_init,stage1.7.conv1.weight,0.00817704787477851,0.0020425872610671924,0.00016985511465463787,4.250753743107187e-05
PlainNet-HeInit,plainnet_he_init,stage1.7.conv2.weight,0.011579210683703423,0.0036227305495189362,0.00024106496712192894,7.548161158237444e-05
PlainNet-HeInit,plainnet_he_init,stage1.8.conv1.weight,0.011140555515885353,0.0031992846500548057,0.00023093078343663364,6.662655833343542e-05
PlainNet-HeInit,plainnet_he_init,stage1.8.conv2.weight,0.004549482930451631,0.0014739299137519304,9.439648129045963e-05,3.0084783768555745e-05
