model,depth,epoch,seed,train_loss,val_loss,lag_0,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15
PlainNet,50,0,0,0.5672761797904968,0.5658292174339294,1.0,2.501619834699927e-26,2.3347160184515806e-26,2.150338200980022e-26,1.9646999866629527e-26,1.7772596027131633e-26,1.566018769004389e-26,1.3654443461690187e-26,1.1773604967708855e-26,1.0575744104888035e-26,9.568937585099299e-27,8.574180417784336e-27,7.486830306811732e-27,6.55601298639513e-27,6.102772826385288e-27,5.7166256722658106e-27
PlainNet,50,1,0,0.5676121711730957,0.5661616325378418,1.0,9.043989092811146e-28,8.24186523407705e-28,7.438788550578502e-28,6.50624853754188e-28,5.622078105172194e-28,4.852392938158553e-28,4.056341119498544e-28,3.275950674702758e-28,2.765306088687668e-28,2.3519249980979288e-28,1.9365443619024325e-28,1.7424925785827394e-28,1.593961755278968e-28,1.6312414732995455e-28,1.7766979843991033e-28
PlainNet,50,5,0,0.5668637156486511,0.5654151439666748,1.0,3.293795515206544e-28,3.165183965968373e-28,3.00820562869394e-28,2.8437809700928835e-28,2.6712352355404496e-28,2.492132918131154e-28,2.3229766912466288e-28,2.1531344049633725e-28,2.0463680763693204e-28,1.951229378459324e-28,1.8588634074047185e-28,1.7773479293292916e-28,1.7047782247093387e-28,1.653479115395221e-28,1.593121895175816e-28
PlainNet,50,10,0,0.5670560002326965,0.565606415271759,1.0,5.460395198442371e-29,5.127358388451834e-29,4.601993287069026e-29,4.1240578121336774e-29,3.6233124547945986e-29,3.0905665590207e-29,2.6496443804455087e-29,2.2426470554898794e-29,1.972489953213434e-29,1.7565379164723853e-29,1.614601501394705e-29,1.5286142197423574e-29,1.3974458441090014e-29,1.3684967232997188e-29,1.2572635290563216e-29
PlainNet,50,final,0,0.5670560002326965,0.565606415271759,1.0,5.460395198442371e-29,5.127358388451834e-29,4.601993287069026e-29,4.1240578121336774e-29,3.6233124547945986e-29,3.0905665590207e-29,2.6496443804455087e-29,2.2426470554898794e-29,1.972489953213434e-29,1.7565379164723853e-29,1.614601501394705e-29,1.5286142197423574e-29,1.3974458441090014e-29,1.3684967232997188e-29,1.2572635290563216e-29
Standard ResNet,50,0,0,0.9184658527374268,0.9189784526824951,1.0,0.9844567033569639,0.9681487198477575,0.951690323818363,0.9346549764499061,0.9176860560829255,0.9029266042352418,0.8881500761903549,0.8742469728322989,0.8602093576717301,0.8468754120427571,0.8338448165832452,0.8197986195299877,0.8071149862696098,0.7933094711751723,0.7820505059437178
Standard ResNet,50,1,0,0.46174120903015137,0.4604295492172241,1.0,0.9938998297457123,0.9868571748179945,0.9792938845866834,0.9714390918987087,0.9617693780433755,0.952604970819031,0.9438712118576804,0.9337963030502653,0.9218171085117324,0.9093422252411565,0.8963051412622424,0.8823805679001729,0.8671019604319506,0.8515687255700246,0.8354449070333556
Standard ResNet,50,5,0,0.037983693182468414,0.03897111117839813,1.0,0.9916208862844076,0.9712600515336326,0.9398224753649203,0.8999595519197668,0.853673104094209,0.8030801646421324,0.7502818736775224,0.6967291733377838,0.643975939341305,0.5930698075006877,0.5440889999317736,0.49758365754136596,0.4537067988727782,0.4118966095866264,0.3714538862004914
Standard ResNet,50,10,0,0.009596269577741623,0.010189436376094818,1.0,0.9944584570199974,0.9837962879601962,0.9681544744310554,0.9482153363174368,0.9232301470312209,0.8933369202732919,0.8589372982031483,0.8199791619722672,0.7781504880652911,0.7328150485033663,0.6841243185098225,0.6328016826219167,0.5800908880644589,0.5254743802350313,0.46924054649745783
Standard ResNet,50,final,0,0.009596269577741623,0.010189436376094818,1.0,0.9944584570199974,0.9837962879601962,0.9681544744310554,0.9482153363174368,0.9232301470312209,0.8933369202732919,0.8589372982031483,0.8199791619722672,0.7781504880652911,0.7328150485033663,0.6841243185098225,0.6328016826219167,0.5800908880644589,0.5254743802350313,0.46924054649745783
PreAct ResNet,50,0,0,0.5959078669548035,0.5945817828178406,1.0,0.9281653252045077,0.843860908867076,0.7549607498813821,0.6646180493003715,0.5900097237168274,0.5031317514499581,0.43306329784549874,0.3739184569511653,0.32183932430854517,0.28206383584572864,0.24676561840535402,0.20937602135021852,0.1733805693740879,0.1307439346345074,0.0911611479987725
PreAct ResNet,50,1,0,0.39552971720695496,0.39447125792503357,1.0,0.9920301257440656,0.9819506805300425,0.972838564032263,0.9612869440343091,0.9488457174905333,0.935961680632281,0.9228916933425737,0.9077674238932805,0.8917712276517719,0.8744844215785336,0.8547035677416925,0.8331257242850255,0.8115240554486733,0.7898783271639954,0.7656882815021836
PreAct ResNet,50,5,0,0.02919645793735981,0.02962837927043438,1.0,0.9934445397477035,0.9775605107893264,0.9521484323991753,0.9186963359031032,0.8787286470963405,0.8332448578831403,0.7842437175813067,0.7326043695901314,0.6792049003717614,0.6257615546075874,0.5726052372279374,0.5203279372509638,0.46876910828651913,0.41855307074163256,0.3692504123751472
PreAct ResNet,50,10,0,0.00902094691991806,0.009476388804614544,1.0,0.9959968532506998,0.9867307331710037,0.9722403169477136,0.9529204222375334,0.9290291231042251,0.9007194589482872,0.8682328411161878,0.8318010976270347,0.7919119835144218,0.7490401239755629,0.703498463724624,0.6555998401495218,0.6053006295608018,0.5533262592535764,0.5001358186038174
PreAct ResNet,50,final,0,0.00902094691991806,0.009476388804614544,1.0,0.9959968532506998,0.9867307331710037,0.9722403169477136,0.9529204222375334,0.9290291231042251,0.9007194589482872,0.8682328411161878,0.8318010976270347,0.7919119835144218,0.7490401239755629,0.703498463724624,0.6555998401495218,0.6053006295608018,0.5533262592535764,0.5001358186038174
ScaledShortcut lambda=1.0,50,0,0,0.9184658527374268,0.9189784526824951,1.0,0.9844567033569639,0.9681487198477575,0.951690323818363,0.9346549764499061,0.9176860560829255,0.9029266042352418,0.8881500761903549,0.8742469728322989,0.8602093576717301,0.8468754120427571,0.8338448165832452,0.8197986195299877,0.8071149862696098,0.7933094711751723,0.7820505059437178
ScaledShortcut lambda=1.0,50,1,0,0.46174120903015137,0.4604295492172241,1.0,0.9938998297457123,0.9868571748179945,0.9792938845866834,0.9714390918987087,0.9617693780433755,0.952604970819031,0.9438712118576804,0.9337963030502653,0.9218171085117324,0.9093422252411565,0.8963051412622424,0.8823805679001729,0.8671019604319506,0.8515687255700246,0.8354449070333556
ScaledShortcut lambda=1.0,50,5,0,0.037983693182468414,0.03897111117839813,1.0,0.9916208862844076,0.9712600515336326,0.9398224753649203,0.8999595519197668,0.853673104094209,0.8030801646421324,0.7502818736775224,0.6967291733377838,0.643975939341305,0.5930698075006877,0.5440889999317736,0.49758365754136596,0.4537067988727782,0.4118966095866264,0.3714538862004914
