model,depth,seed,gradient_mean,gradient_std,gradient_l2_norm,acf_lag1,acf_lag5,acf_lag10,acf_area_under_curve,covariance_structure_score,epoch,train_loss,val_loss,shortcut_lambda,gradient_type
PlainNet,50,0,2.2433970239812065e-20,1.018567264960497e-20,3.9420796525953615e-19,2.501619834699927e-26,1.7772596027131633e-26,9.568937585099299e-27,1.8758926444451644e-25,9.241074854469351e-17,0,0.5672761797904968,0.5658292174339294,1.0,df_dx
PlainNet,50,0,-2.004279222951943e-21,1.9569744277747834e-21,4.481862952912346e-20,9.043989092811146e-28,5.622078105172194e-28,2.3519249980979288e-28,5.742547995418387e-27,3.37729966812376e-18,1,0.5676121711730957,0.5661616325378418,1.0,df_dx
PlainNet,50,0,-2.036691132032097e-21,1.1586388108328624e-21,3.7489020895382295e-20,3.293795515206544e-28,2.6712352355404496e-28,1.951229378459324e-28,3.20921746514952e-27,1.2379507907948305e-18,5,0.5668637156486511,0.5654151439666748,1.0,df_dx
PlainNet,50,0,-1.1700633342759883e-21,4.8084740060885585e-22,2.0243757536485037e-20,5.460395198442371e-29,3.6233124547945986e-29,1.7565379164723853e-29,3.8456595459386175e-28,2.0549275539493498e-19,10,0.5670560002326965,0.565606415271759,1.0,df_dx
PlainNet,50,0,-1.1700633342759883e-21,4.8084740060885585e-22,2.0243757536485037e-20,5.460395198442371e-29,3.6233124547945986e-29,1.7565379164723853e-29,3.8456595459386175e-28,2.0549275539493498e-19,final,0.5670560002326965,0.565606415271759,1.0,df_dx
Standard ResNet,50,0,-0.107228122651577,0.40526679158210754,6.707398414611816,0.9844567033569639,0.9176860560829255,0.8468754120427571,12.281909997379689,1.2509825840280484,0,0.9184658527374268,0.9189784526824951,1.0,df_dx
Standard ResNet,50,0,-0.11600647866725922,0.15039102733135223,3.0389456748962402,0.9938998297457123,0.9617693780433755,0.9093422252411565,12.972820112380555,1.4897630868628915,1,0.46174120903015137,0.4604295492172241,1.0,df_dx
Standard ResNet,50,0,-0.44030219316482544,2.2052462100982666,35.98035430908203,0.9916208862844076,0.853673104094209,0.5930698075006877,9.740665593586955,2.245005946587648,5,0.037983693182468414,0.03897111117839813,1.0,df_dx
Standard ResNet,50,0,-0.30674636363983154,2.204019784927368,35.604209899902344,0.9944584570199974,0.9232301470312209,0.7328150485033663,11.06095593394723,1.5538054896099134,10,0.009596269577741623,0.010189436376094818,1.0,df_dx
Standard ResNet,50,0,-0.30674636363983154,2.204019784927368,35.604209899902344,0.9944584570199974,0.9232301470312209,0.7328150485033663,11.06095593394723,1.5538054896099134,final,0.009596269577741623,0.010189436376094818,1.0,df_dx
PreAct ResNet,50,0,-0.030493825674057007,0.17273405194282532,2.806480646133423,0.9281653252045077,0.5900097237168274,0.28206383584572864,6.037395478532361,1.294788453564874,0,0.5959078669548035,0.5945817828178406,1.0,df_dx
PreAct ResNet,50,0,-0.22325098514556885,0.22203585505485535,5.0378642082214355,0.9920301257440656,0.9488457174905333,0.8744844215785336,12.565889231448098,1.5969619013615919,1,0.39552971720695496,0.39447125792503357,1.0,df_dx
PreAct ResNet,50,0,-0.2461577206850052,2.350831985473633,37.81895446777344,0.9934445397477035,0.8787286470963405,0.6257615546075874,10.043796155790352,1.8492237111104695,5,0.02919645793735981,0.02962837927043438,1.0,df_dx
PreAct ResNet,50,0,-0.2696833610534668,2.2714550495147705,36.598533630371094,0.9959968532506998,0.9290291231042251,0.7490401239755629,11.248417629257752,1.5193066926893124,10,0.00902094691991806,0.009476388804614544,1.0,df_dx
PreAct ResNet,50,0,-0.2696833610534668,2.2714550495147705,36.598533630371094,0.9959968532506998,0.9290291231042251,0.7490401239755629,11.248417629257752,1.5193066926893124,final,0.00902094691991806,0.009476388804614544,1.0,df_dx
ScaledShortcut lambda=1.0,50,0,-0.107228122651577,0.40526679158210754,6.707398414611816,0.9844567033569639,0.9176860560829255,0.8468754120427571,12.281909997379689,1.2509825840280484,0,0.9184658527374268,0.9189784526824951,1.0,df_dx
ScaledShortcut lambda=1.0,50,0,-0.11600647866725922,0.15039102733135223,3.0389456748962402,0.9938998297457123,0.9617693780433755,0.9093422252411565,12.972820112380555,1.4897630868628915,1,0.46174120903015137,0.4604295492172241,1.0,df_dx
ScaledShortcut lambda=1.0,50,0,-0.44030219316482544,2.2052462100982666,35.98035430908203,0.9916208862844076,0.853673104094209,0.5930698075006877,9.740665593586955,2.245005946587648,5,0.037983693182468414,0.03897111117839813,1.0,df_dx
ScaledShortcut lambda=1.0,50,0,-0.30674636363983154,2.204019784927368,35.604209899902344,0.9944584570199974,0.9232301470312209,0.7328150485033663,11.06095593394723,1.5538054896099134,10,0.009596269577741623,0.010189436376094818,1.0,df_dx
ScaledShortcut lambda=1.0,50,0,-0.30674636363983154,2.204019784927368,35.604209899902344,0.9944584570199974,0.9232301470312209,0.7328150485033663,11.06095593394723,1.5538054896099134,final,0.009596269577741623,0.010189436376094818,1.0,df_dx
