model,depth,seed,lag_0,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15
PlainNet,2,0,1.0,0.9839987644933783,0.9669941987675641,0.9495794735557647,0.9296356129208001,0.9100111720292808,0.8899527722669283,0.8687296218427624,0.8462309226286995,0.8255640758134898,0.804592699407926,0.7837080349491746,0.765099735101558,0.7484819995061669,0.7308540990978357,0.7111813968182232
Standard ResNet,2,0,1.0,0.9915078055886414,0.982813949475008,0.9748864557912875,0.9671086382307882,0.9590080503941399,0.9506029807395324,0.9418909108914347,0.9326660432429646,0.923625522170345,0.9149999477092606,0.9058896921369775,0.8961153880004409,0.8862414019929485,0.8764971898991182,0.8668740533384396
PreAct ResNet,2,0,1.0,0.9908603569994145,0.9818490946211659,0.9731183828173481,0.9644201292404758,0.9550965627915162,0.9454934459553839,0.9359641955864061,0.9261852801239209,0.9156779569242911,0.9047807773876941,0.8942317073886091,0.8838812367601203,0.8729053909933122,0.8615289548750026,0.8502045031094677
ScaledShortcut lambda=1.0,2,0,1.0,0.9915078055886414,0.982813949475008,0.9748864557912875,0.9671086382307882,0.9590080503941399,0.9506029807395324,0.9418909108914347,0.9326660432429646,0.923625522170345,0.9149999477092606,0.9058896921369775,0.8961153880004409,0.8862414019929485,0.8764971898991182,0.8668740533384396
PlainNet,24,0,1.0,2.9174750920843036e-05,2.8500127726570553e-05,2.7860236726757708e-05,2.7292351497184405e-05,2.6796409420603054e-05,2.62678176372316e-05,2.5617130556979845e-05,2.491438535453117e-05,2.4345026440432534e-05,2.376462139399991e-05,2.3297415670956006e-05,2.2841437288100533e-05,2.230018805549228e-05,2.1647786031784327e-05,2.114859688935742e-05
Standard ResNet,24,0,1.0,0.9416757857953469,0.8843110923999883,0.826297109164106,0.7792626807730244,0.7244891478743458,0.6858292687088599,0.646064523519327,0.6167032497759136,0.5869707483146135,0.5639917563272222,0.534999486985751,0.4990523565001352,0.4530490027016252,0.4016502412803777,0.3658438480291458
PreAct ResNet,24,0,1.0,0.9540682016181329,0.8912426516381634,0.8285164217380321,0.7727588940581336,0.7247086535013043,0.6752789532306215,0.6149250835279151,0.5521435970151833,0.48805109530363205,0.4256479282634274,0.36815866829526417,0.3136338844885801,0.25383931790030284,0.2031349434551984,0.15735197194644535
ScaledShortcut lambda=1.0,24,0,1.0,0.9416757857953469,0.8843110923999883,0.826297109164106,0.7792626807730244,0.7244891478743458,0.6858292687088599,0.646064523519327,0.6167032497759136,0.5869707483146135,0.5639917563272222,0.534999486985751,0.4990523565001352,0.4530490027016252,0.4016502412803777,0.3658438480291458
PlainNet,50,0,1.0,2.501619834699927e-26,2.3347160184515806e-26,2.150338200980022e-26,1.9646999866629527e-26,1.7772596027131633e-26,1.566018769004389e-26,1.3654443461690187e-26,1.1773604967708855e-26,1.0575744104888035e-26,9.568937585099299e-27,8.574180417784336e-27,7.486830306811732e-27,6.55601298639513e-27,6.102772826385288e-27,5.7166256722658106e-27
Standard ResNet,50,0,1.0,0.9844567033569639,0.9681487198477575,0.951690323818363,0.9346549764499061,0.9176860560829255,0.9029266042352418,0.8881500761903549,0.8742469728322989,0.8602093576717301,0.8468754120427571,0.8338448165832452,0.8197986195299877,0.8071149862696098,0.7933094711751723,0.7820505059437178
PreAct ResNet,50,0,1.0,0.9281653252045077,0.843860908867076,0.7549607498813821,0.6646180493003715,0.5900097237168274,0.5031317514499581,0.43306329784549874,0.3739184569511653,0.32183932430854517,0.28206383584572864,0.24676561840535402,0.20937602135021852,0.1733805693740879,0.1307439346345074,0.0911611479987725
ScaledShortcut lambda=1.0,50,0,1.0,0.9844567033569639,0.9681487198477575,0.951690323818363,0.9346549764499061,0.9176860560829255,0.9029266042352418,0.8881500761903549,0.8742469728322989,0.8602093576717301,0.8468754120427571,0.8338448165832452,0.8197986195299877,0.8071149862696098,0.7933094711751723,0.7820505059437178
