model,depth,seed,gradient_mean,gradient_std,gradient_l2_norm,acf_lag1,acf_lag5,acf_lag10,acf_area_under_curve,covariance_structure_score,shortcut_lambda,training_status
PlainNet,2,0,0.021201331168413162,0.07961610704660416,1.3182505369186401,0.9839987644933783,0.9100111720292808,0.804592699407926,11.867024498543753,1.7338125700919784,1.0,epoch0_init
Standard ResNet,2,0,-0.12349365651607513,0.433338463306427,7.20946741104126,0.9915078055886414,0.9590080503941399,0.9149999477092606,13.041537100137788,1.2275349006514904,1.0,epoch0_init
PreAct ResNet,2,0,-0.15937919914722443,0.3901549279689789,6.7432475090026855,0.9908603569994145,0.9550965627915162,0.9047807773876941,12.935665545519687,1.18504663045903,1.0,epoch0_init
ScaledShortcut lambda=1.0,2,0,-0.12349365651607513,0.433338463306427,7.20946741104126,0.9915078055886414,0.9590080503941399,0.9149999477092606,13.041537100137788,1.2275349006514904,1.0,epoch0_init
PlainNet,24,0,1.9485740798685924e-10,3.4159661210786396e-10,6.2922458354819355e-09,2.9174750920843036e-05,2.6796409420603054e-05,2.376462139399991e-05,0.0003506066077057241,1.363338586512017,1.0,epoch0_init
Standard ResNet,24,0,-0.19129078090190887,0.13312719762325287,3.7288930416107178,0.9416757857953469,0.7244891478743458,0.5639917563272222,8.856430481237537,1.6237341155587945,1.0,epoch0_init
PreAct ResNet,24,0,-0.21186599135398865,0.17107251286506653,4.356967926025391,0.9540682016181329,0.7247086535013043,0.4256479282634274,7.6677501791980465,1.2538358976889947,1.0,epoch0_init
ScaledShortcut lambda=1.0,24,0,-0.19129078090190887,0.13312719762325287,3.7288930416107178,0.9416757857953469,0.7244891478743458,0.5639917563272222,8.856430481237537,1.6237341155587945,1.0,epoch0_init
PlainNet,50,0,2.2433970239812065e-20,1.018567264960497e-20,3.9420796525953615e-19,2.501619834699927e-26,1.7772596027131633e-26,9.568937585099299e-27,1.8758926444451644e-25,9.241074854469351e-17,1.0,epoch0_init
Standard ResNet,50,0,-0.107228122651577,0.40526679158210754,6.707398414611816,0.9844567033569639,0.9176860560829255,0.8468754120427571,12.281909997379689,1.2509825840280484,1.0,epoch0_init
PreAct ResNet,50,0,-0.030493825674057007,0.17273405194282532,2.806480646133423,0.9281653252045077,0.5900097237168274,0.28206383584572864,6.037395478532361,1.294788453564874,1.0,epoch0_init
ScaledShortcut lambda=1.0,50,0,-0.107228122651577,0.40526679158210754,6.707398414611816,0.9844567033569639,0.9176860560829255,0.8468754120427571,12.281909997379689,1.2509825840280484,1.0,epoch0_init
